t theta_x theta_y theta_z theta_x_f theta_y_f dtheta_x_f dtheta_y_f enc_pos_1 enc_pos_2 enc_pos_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y phi_z dphi_x dphi_y dphi_z err_x err_y Tx Ty Tz u1 u2 u3 Kp_x Ki_x Kd_x Kp_y Ki_y Kd_y pwm_cap abort 
0.0010066032409667969 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.005757570266723633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.010819673538208008 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.01589512825012207 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.02099609375 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.026101112365722656 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.03114795684814453 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.03615427017211914 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.041307687759399414 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.04633736610412598 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.0514070987701416 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.05643606185913086 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.0615389347076416 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.0666508674621582 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.07162094116210938 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.07685708999633789 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.08220505714416504 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.08696174621582031 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.09203433990478516 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.09717082977294922 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
0.10217690467834473 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6336 28792 -43988 0.0 0.0 0.0 33.06162100561291 -7.3089882951946485 -2.323727439910456 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 8.0 0.0 0.0 0.2 0 
