t_now Tz phi_x phi_y phi_z dphi_x dphi_y dphi_z enc_pos_1 enc_pos_2 enc_pos_3 enc_dtick_1 enc_dtick_2 enc_dtick_3 theta_x theta_y theta_z 
0.005090475082397461 0.75 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 -0.05158010497689247 0.07689078897237778 -2.685041666030884 
0.01055002212524414 0.75 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 -0.05158010497689247 0.07689078897237778 -2.685041666030884 
0.015929460525512695 0.75 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 -0.05158010497689247 0.07708253711462021 -2.685041666030884 
0.02167034149169922 0.75 0.0 0.0005245434401603739 0.0005245434401603739 0.0 -0.11122634439363316 0.22245268878726632 0 1 1 2 1 1 -0.05158010497689247 0.07708253711462021 -2.685041666030884 
0.027086257934570312 0.75 0.0 0.0 0.0015736303204811216 0.09657056644714421 0.055755042534053355 0.39028529773837345 2 2 2 2 3 2 -0.05158010497689247 0.07708253711462021 -2.685041666030884 
0.03239607810974121 0.75 0.0004542679445673663 0.00026227172008018695 0.00340953236104243 -0.08812181271917874 -0.05087715229489566 0.559648675243852 4 5 4 4 3 4 -0.05158010497689247 0.07708253711462021 -2.685041666030884 
0.03767275810241699 0.75 0.0 0.0 0.006294521281924486 0.09663219412196691 0.05579062328870178 0.7252781027531229 8 8 8 4 5 4 -0.05158010497689247 0.07708253711462021 -2.685041666030884 
0.0429844856262207 0.75 0.0004542679445673663 0.00026227172008018695 0.009704053642966916 0.0 0.0 0.7897107663839689 12 13 12 6 6 6 -0.05158010497689247 0.07708253711462021 -2.685041666030884 
0.048274993896484375 0.75 0.0004542679445673663 0.00026227172008018695 0.014424944604410283 0.0 0.1111085448338009 0.9444226310873075 18 19 18 5 6 6 -0.05138835683465004 0.07689078897237778 -2.684849977493286 
0.05353832244873047 0.75 0.0004542679445673663 0.0007868151602405608 0.01888356384577346 0.0 0.0 0.8779786054386024 23 25 24 6 6 6 -0.051004864275455475 0.07669904083013535 -2.683699369430542 
0.05878567695617676 0.75 0.0004542679445673663 0.0007868151602405608 0.023604454807216825 0.0 0.11167626999369251 1.1167626999369256 29 31 30 6 7 7 -0.051004864275455475 0.07669904083013535 -2.681398391723633 
