i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
1 0.00506901741027832 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.9164810180664062 0 0 0 0 0 0 
2 0.010492086410522461 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.9164810180664062 0 0 0 0 0 0 
3 0.01584935188293457 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.9164810180664062 0 0 0 0 0 0 
4 0.021274328231811523 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.9164810180664062 0 0 0 0 -3 3 
5 0.02663564682006836 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05330583453178406 -2.9164810180664062 0 -3 3 0 -4 4 
6 0.032128334045410156 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05330583453178406 -2.9164810180664062 0 -7 7 0 -5 5 
7 0.037546634674072266 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05330583453178406 -2.9164810180664062 0 -12 12 0 -6 8 
8 0.043009042739868164 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05330583453178406 -2.9164810180664062 0 -18 20 0 -8 8 
9 0.048537492752075195 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.053114086389541626 -2.916097640991211 0 -26 28 0 -10 10 
10 0.05400562286376953 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.053114086389541626 -2.9164810180664062 0 -45 49 0 -11 11 
11 0.05937457084655762 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.053114086389541626 -2.9168646335601807 0 -56 60 0 -14 15 
12 0.06476926803588867 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05349758267402649 -2.9170563220977783 0 -70 75 0 -13 13 
13 0.07069087028503418 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.053881075233221054 -2.9170563220977783 0 -83 88 0 -13 14 
14 0.07613730430603027 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05426457151770592 -2.9170563220977783 0 -96 102 0 -15 16 
15 0.08153367042541504 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05426457151770592 -2.9168646335601807 0 -111 118 0 -17 16 
16 0.08693194389343262 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05426457151770592 -2.916672706604004 0 -128 134 0 -21 22 
17 0.09227132797241211 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05426457151770592 -2.916672706604004 0 -149 156 0 -18 17 
18 0.09764671325683594 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.054072823375463486 -2.916672706604004 0 -167 173 0 -19 19 
19 0.10293865203857422 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.053881075233221054 -2.916672706604004 0 -186 192 0 -23 23 
20 0.10832405090332031 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.053881075233221054 -2.916672706604004 0 -209 215 0 -21 21 
21 0.11375737190246582 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05368933081626892 -2.916672706604004 0 -252 257 0 -23 23 
22 0.11913919448852539 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05368933081626892 -2.916672706604004 0 -275 280 0 -25 25 
23 0.12453556060791016 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05368933081626892 -2.9164810180664062 0 -300 305 0 -26 26 
24 0.1298980712890625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05368933081626892 -2.9162893295288086 0 -326 331 0 -24 24 
25 0.13532638549804688 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.053881075233221054 -2.9164810180664062 0 -350 355 0 -26 27 
26 0.14066052436828613 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.053881075233221054 -2.9168646335601807 0 -376 382 0 -31 30 
27 0.14600300788879395 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05368933081626892 -2.917248010635376 0 -407 412 0 -26 27 
28 0.15131902694702148 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05368933081626892 -2.9174396991729736 0 -433 439 0 -27 27 
