i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
1 0.00507044792175293 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 0 0 0 0 0 
2 0.01050567626953125 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 0 0 0 0 0 
3 0.01588153839111328 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 0 0 0 0 0 
4 0.02132558822631836 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 0 0 0 -1 0 
5 0.02721428871154785 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -3 3 0 -5 4 
6 0.032675981521606445 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -8 7 0 -5 5 
7 0.03808307647705078 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -13 12 0 -7 7 
8 0.04352235794067383 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -20 19 0 -9 9 
9 0.04904365539550781 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -29 28 0 -10 11 
10 0.054471731185913086 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -39 39 0 -13 14 
11 0.059942007064819336 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -52 53 0 -13 13 
12 0.06536650657653809 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -65 66 0 -14 14 
13 0.07076692581176758 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -79 80 0 -15 16 
14 0.07615399360656738 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -94 96 0 -18 18 
15 0.08155679702758789 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -112 114 0 -18 18 
16 0.08865141868591309 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -153 155 0 -20 20 
17 0.09430217742919922 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -173 175 0 -22 22 
18 0.09988760948181152 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -195 197 0 -22 22 
19 0.10549783706665039 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -217 219 0 -24 24 
20 0.1111142635345459 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -241 243 0 -25 25 
21 0.11730027198791504 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -293 295 0 -28 27 
22 0.1233510971069336 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -321 322 0 -31 32 
23 0.12893342971801758 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -352 354 0 -28 28 
24 0.1346454620361328 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -380 382 0 -32 32 
25 0.1403672695159912 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.12241792678833 -0.056182049214839935 2.7057504653930664 0 -412 414 0 -29 30 
26 0.14602208137512207 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -441 444 0 -30 30 
27 0.15192627906799316 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -503 506 0 -34 34 
28 0.1575615406036377 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -537 540 0 -35 36 
29 0.16353797912597656 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -572 576 0 -40 40 
30 0.16908669471740723 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -612 616 0 -33 33 
31 0.17471885681152344 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -645 649 0 -34 35 
32 0.18034601211547852 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -679 684 0 -34 35 
33 0.18613600730895996 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -713 719 0 -37 37 
34 0.19207549095153809 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -787 793 0 -38 38 
35 0.1976017951965332 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -825 831 0 -40 40 
36 0.20307421684265137 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -865 871 0 -42 42 
37 0.20850133895874023 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -907 913 0 -36 37 
38 0.21430301666259766 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -943 950 0 -42 42 
39 0.22032999992370605 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -985 992 0 -38 38 
40 0.2261791229248047 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1023 1030 0 -37 37 
41 0.2322854995727539 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1099 1106 0 -41 42 
42 0.2384049892425537 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1140 1148 0 -41 41 
43 0.24595332145690918 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1181 1189 0 -46 46 
44 0.2535858154296875 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1265 1274 0 -40 40 
45 0.2593502998352051 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1305 1314 0 -39 38 
46 0.26476526260375977 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1344 1352 0 -43 44 
47 0.2703084945678711 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1387 1396 0 -39 39 
48 0.2756781578063965 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1426 1435 0 -43 42 
49 0.2815544605255127 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1469 1477 0 -43 43 
50 0.2877082824707031 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1558 1566 0 -39 40 
51 0.2933022975921631 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1597 1606 0 -45 45 
52 0.2989161014556885 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1642 1651 0 -40 40 
53 0.30460286140441895 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1682 1691 0 -40 40 
54 0.31018853187561035 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1722 1731 0 -41 41 
55 0.31583547592163086 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1226096153259277 -0.056182049214839935 2.7057504653930664 0 -1763 1772 0 -43 43 
