i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y
28 0.29996609687805176 -0.0016556093787708603 0.0 0.0 0.0 0.0013517993971182837 -0.0013517993971182837 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
29 0.31066036224365234 -0.001652979236576481 0.0 0.0 0.0 0.0013496518950092192 -0.0013496518950092192 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
30 0.32138895988464355 -0.0016514011512598534 0.0 0.0 0.0 0.0013483633937437806 -0.0013483633937437806 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
31 0.33193302154541016 -0.0016504543000698767 0.0 0.0 0.0 0.0013475902929845171 -0.0013475902929845171 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
32 0.3425261974334717 -0.001649886189355891 0.0 0.0 0.0 0.0013471264325289594 -0.0013471264325289594 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
33 0.35308170318603516 -0.0016495453229274993 0.0 0.0 0.0 0.0013468481162556246 -0.0013468481162556246 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
34 0.36365222930908203 -0.0016493408030704643 0.0 0.0 0.0 0.0013466811264916236 -0.0013466811264916236 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
35 0.37425708770751953 -0.0016492180911562434 0.0 0.0 0.0 0.0013465809326332233 -0.0013465809326332233 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
36 0.3848862648010254 -0.001649144464007711 0.0 0.0 0.0 0.0013465208163181831 -0.0013465208163181831 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
37 0.3955497741699219 -0.0016491002877185913 0.0 0.0 0.0 0.0013464847465291586 -0.0013464847465291586 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
38 0.4062047004699707 -0.0016490737819451196 0.0 0.0 0.0 0.0013464631046557444 -0.0013464631046557444 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
39 0.41691136360168457 -0.0016490578784810364 0.0 0.0 0.0 0.0013464501195316954 -0.0013464501195316954 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
40 0.42755866050720215 -0.0016490483364025867 0.0 0.0 0.0 0.0013464423284572664 -0.0013464423284572664 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
41 0.43824195861816406 -0.0016490426111555167 0.0 0.0 0.0 0.001346437653812609 -0.001346437653812609 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
42 0.4488105773925781 -0.0016490391760072749 0.0 0.0 0.0 0.0013464348490258141 -0.0013464348490258141 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
43 0.4593362808227539 -0.0016490371149183297 0.0 0.0 0.0 0.0013464331661537376 -0.0013464331661537376 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
44 0.46985483169555664 -0.0016490358782649626 0.0 0.0 0.0 0.0013464321564304917 -0.0013464321564304917 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
45 0.4803764820098877 -0.0016490351362729422 0.0 0.0 0.0 0.0013464315505965438 -0.0013464315505965438 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
46 0.49098753929138184 -0.0016490346910777302 0.0 0.0 0.0 0.0013464311870961753 -0.0013464311870961753 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
47 0.5019590854644775 -0.001649034423960603 0.0 0.0 0.0 0.001346430968995954 -0.001346430968995954 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
48 0.5132589340209961 -0.0016490342636903265 0.0 0.0 0.0 0.0013464308381358214 -0.0013464308381358214 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
49 0.5246641635894775 -0.0016490341675281606 -0.0017870493821591665 0.0 0.001684846315253302 0.0005040076019930908 -0.0021888539172463927 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
50 0.5355157852172852 -0.0016490341098308612 -0.0017318432386094647 0.0 0.001632797463963766 0.0005300319805282113 -0.0021628294444919773 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
51 0.5467302799224854 -0.0016490340752124814 -0.0016987195524796436 0.0 0.0016015681531900442 0.0005456466076492833 -0.0021472147608393275 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
52 0.5582911968231201 -0.0016490340544414537 -0.001678845340801751 0.0 0.0015828305667258112 0.0005550153839219268 -0.002137845950647738 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
53 0.5689387321472168 -0.001649034041978837 -0.0016669208137950154 0.0 0.0015715880148472715 0.0005606366496855126 -0.002132224664532784 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
54 0.5798842906951904 -0.001649034034501267 -0.001659766097590974 0.0 0.0015648424837201476 0.0005640094091436645 -0.0021288518928638117 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
55 0.5908820629119873 -0.001649034030014725 -0.0016554732678685491 0.0 0.0015607951650438731 0.0005660330648185553 -0.002126828229862428 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
56 0.6022818088531494 -0.0016490340273227998 -0.0016528975700350942 0.0 0.0015583667738381084 0.0005672472582234899 -0.0021256140320615987 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
57 0.6145353317260742 -0.0016490340257076445 -0.0016513521513350214 0.0 0.0015569097391146497 0.0005679757742664505 -0.0021248855133811 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
58 0.6260197162628174 -0.0016490340247385514 -0.0016504249001149775 0.0 0.0015560355182805746 0.0005684128838922271 -0.0021244484021728013 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
59 0.6369202136993408 -0.0016490340241570958 -0.0016498685493829513 0.0 0.0015555109857801294 0.0005686751496676929 -0.002124186135447822 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
60 0.6480224132537842 -0.0016490340238082223 -0.0016495347389437357 0.0 0.0015551962662798623 0.0005688325091329723 -0.0021240287754128347 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
61 0.6594514846801758 -0.0016490340235988982 -0.0016493344526802062 0.0 0.001555007434579702 0.0005689269248121402 -0.0021239343593918423 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
62 0.6705584526062012 -0.0016490340234733036 -0.0016492142809220885 0.0 0.0015548941355596059 0.0005689835742196407 -0.0021238777097792464 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
63 0.6812872886657715 -0.001649034023397947 -0.0016491421778672178 0.0 0.001554826156147548 0.000569017563864141 -0.0021238437200116894 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
64 0.6920249462127686 -0.001649034023352733 -0.0016490989160342954 0.0 0.0015547853685003133 0.0005690379576508413 -0.0021238233261511546 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
65 0.7040591239929199 -0.0016490340233256046 -0.0016490729589345421 0.0 0.001554760895911973 0.0005690501939228615 -0.0021238110898348346 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
66 0.7153751850128174 -0.0016490340233093275 -0.00164905738467469 0.0 0.0015547462123589684 0.0005690575356860736 -0.002123803748045042 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
67 0.7259299755096436 -0.0016490340232995612 -0.0016490480401187787 0.0 0.0015547374022271655 0.0005690619407440009 -0.0021237993429711662 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
68 0.736478328704834 -0.0016490340232937016 -0.001649042433385232 0.0 0.001554732116148084 0.0005690645837787571 -0.002123796699926841 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
