i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
1 0.005089282989501953 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
2 0.01095271110534668 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
3 0.016544580459594727 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
4 0.02222299575805664 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
5 0.027990341186523438 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
6 0.03473711013793945 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
7 0.04114174842834473 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
8 0.047338247299194336 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
9 0.05314970016479492 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
10 0.058867692947387695 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
11 0.06454038619995117 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
12 0.07021379470825195 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
13 0.07586455345153809 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598371744155884 0 0 0 0 0 0 
14 0.08152937889099121 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598371744155884 0 0 0 0 0 0 
15 0.08778858184814453 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
16 0.09374833106994629 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
17 0.10078215599060059 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
18 0.10662102699279785 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
19 0.11255955696105957 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
20 0.1187906265258789 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
21 0.12472248077392578 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
22 0.13056468963623047 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.5985634326934814 0 0 0 0 0 0 
23 0.1365509033203125 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
24 0.14205098152160645 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
25 0.14759540557861328 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
26 0.15334224700927734 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
27 0.15884089469909668 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
28 0.16474294662475586 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
29 0.17067527770996094 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
30 0.17620849609375 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
31 0.1817624568939209 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
32 0.1872272491455078 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
33 0.19283080101013184 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
34 0.19861459732055664 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
35 0.20466375350952148 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
36 0.21027922630310059 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
37 0.21599507331848145 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
38 0.22197580337524414 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
39 0.22754955291748047 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
40 0.2330491542816162 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
41 0.2390143871307373 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
42 0.24454116821289062 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
43 0.25046873092651367 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
44 0.2567274570465088 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
45 0.2622361183166504 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
46 0.26814889907836914 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
47 0.2741684913635254 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
48 0.2796945571899414 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
49 0.2852799892425537 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
50 0.29073381423950195 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
51 0.29688072204589844 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
52 0.3023059368133545 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
53 0.3082277774810791 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.111104965209961 -0.05445631965994835 2.598755359649658 0 0 0 0 0 0 
