i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
1 0.005065441131591797 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
2 0.01050257682800293 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
3 0.016289710998535156 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
4 0.022228002548217773 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
5 0.027976512908935547 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
6 0.03348374366760254 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
7 0.03904390335083008 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
8 0.04468274116516113 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
9 0.0505979061126709 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
10 0.056424856185913086 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.052155349403619766 2.595303773880005 0 0 0 0 0 0 
11 0.061923980712890625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.052155349403619766 2.5951120853424072 0 0 0 0 0 0 
12 0.06740260124206543 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
13 0.07279491424560547 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
14 0.07815384864807129 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
15 0.08349847793579102 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
16 0.08890628814697266 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
17 0.09426236152648926 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
18 0.09961915016174316 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5949203968048096 0 0 0 0 0 0 
19 0.10493135452270508 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5949203968048096 0 0 0 0 0 0 
20 0.11035728454589844 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
21 0.11606526374816895 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
22 0.1225442886352539 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.052155349403619766 2.595303773880005 0 0 0 0 0 0 
23 0.12813472747802734 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.595303773880005 0 0 0 0 0 0 
24 0.13376593589782715 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
25 0.13948369026184082 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
26 0.14506030082702637 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
27 0.15102434158325195 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
28 0.15650415420532227 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
29 0.16201210021972656 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
30 0.16751432418823242 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
31 0.173309326171875 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
32 0.17887282371520996 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
33 0.18459630012512207 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
34 0.1902143955230713 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
35 0.19606876373291016 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
36 0.2015683650970459 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
37 0.2070600986480713 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
38 0.21256208419799805 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
39 0.21811342239379883 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
40 0.22368359565734863 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
41 0.22914624214172363 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.11417293548584 -0.0523470975458622 2.5951120853424072 0 0 0 0 0 0 
