t_now Tz phi_x phi_y phi_z dphi_x dphi_y dphi_z enc_pos_1 enc_pos_2 enc_pos_3 enc_dtick_1 enc_dtick_2 enc_dtick_3 theta_x theta_y theta_z 
0.005086421966552734 0.75 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0.0 0.0 0.0 
0.012038469314575195 0.75 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0.0 0.0 0.0 
0.01770782470703125 0.75 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0.0 0.0 0.0 
0.023352861404418945 0.75 0.0 0.0 0.0 0.09710729896694448 -0.05606492519884287 0.2803246259942143 0 0 0 2 2 1 0.0 0.0 0.0 
0.029213905334472656 0.75 0.0004542679445673663 -0.00026227172008018695 0.0028849889208820566 -0.09760806716101553 -0.056354043850491385 0.4508323508039311 4 4 3 3 2 3 0.0 0.0 0.0 
0.034763336181640625 0.75 0.0 -0.0005245434401603739 0.004983162681523552 0.09771304464774494 -0.05641465263071346 0.6205611789378482 7 6 6 4 4 3 0.0 0.0 0.0 
0.04024195671081543 0.75 0.0004542679445673663 -0.0007868151602405601 0.007868151602405608 -0.09767102656791365 -0.16917118044303617 0.6766847217721443 11 10 9 5 3 4 0.0 0.0 0.0 
0.04577946662902832 0.75 0.0 -0.0015736303204811216 0.011015412243367852 -0.09760806716101553 -0.056354043850491385 0.7889566139068793 16 13 13 5 4 5 0.0 0.0 0.0 
0.05137062072753906 0.75 -0.0004542679445673674 -0.0023604454807216826 0.01888356384577346 0.0 -0.11282930526142697 0.9026344420914157 27 22 23 6 5 5 0.0 0.0 0.0 
0.05683755874633789 0.75 -0.0004542679445673663 -0.0028849889208820566 0.023079911367056453 -0.09767102656791359 -0.16917118044303606 1.0150270826582164 33 27 28 7 5 6 0.0 0.0 0.0 
0.0623321533203125 0.75 -0.0009085358891347326 -0.003671804081122617 0.027800802328499817 0.0 -0.11273231037188353 1.0709569485328934 40 32 34 7 6 6 0.0 0.0 0.0 
0.06776618957519531 0.75 -0.0009085358891347326 -0.004196347521282991 0.03278396501002337 0.0 -0.11268387543724473 1.0704968166538245 47 38 40 7 6 6 0.0 0.0 0.0 
0.07329916954040527 0.75 -0.0009085358891347348 -0.004720890961443365 0.03776712769154692 0.0 -0.11275654345665817 1.2403219780232402 54 44 46 8 7 7 0.0 0.0 0.0 
0.07872676849365234 0.75 -0.0009085358891347326 -0.005245434401603739 0.043537105533311034 -0.0974614770580061 0.05626941001505837 1.2379270203312835 62 51 53 7 7 8 0.0 0.0 0.0 
0.08417344093322754 0.75 -0.0009085358891347326 -0.005245434401603739 0.05533933293691944 -0.09756613929711476 0.05632983678698174 1.4082459196745434 77 66 68 8 8 9 0.0 0.0 0.0 
0.0896456241607666 0.75 -0.0013628038337020988 -0.004983162681523552 0.06189612593892412 0.0 -0.11253882003011657 1.4067352503764585 85 74 77 9 8 8 0.0 0.0 0.0 
0.09507107734680176 0.75 -0.0013628038337021033 -0.005507706121683926 0.0684529189409288 -0.09754518886995206 0.05631774105221971 1.4079435263054916 94 82 85 8 8 9 0.0 0.0 0.0 
0.10051655769348145 0.75 -0.0018170717782694651 -0.005245434401603739 0.07500971194293346 -0.09752424743824951 -0.056305650510989035 1.4639469132857152 102 90 94 9 8 9 0.0 0.0 0.0 
0.10613250732421875 0.75 -0.0022713397228368314 -0.005507706121683926 0.08182877666501832 -0.09750331499621524 0.056293565159945755 1.576219824478479 111 98 103 9 9 10 0.0 0.0 0.0 
0.11169552803039551 0.75 -0.0027256076674041976 -0.005245434401603739 0.08917238482726356 -0.09756613929711476 -0.05632983678698174 1.4645757564615254 120 107 113 9 8 9 0.0 0.0 0.0 
0.11728620529174805 0.75 -0.0036341435565389302 -0.005245434401603739 0.10333505771159365 -0.09767102656791365 -0.05639039348101205 1.635321410949349 138 124 132 10 9 10 0.0 0.0 0.0 
0.1228940486907959 0.75 -0.004088411501106296 -0.005507706121683926 0.11094093759391908 -0.19492295411601207 -8.304621269071208e-17 1.6880823004517502 148 133 142 10 9 11 0.0 0.0 0.0 
0.12836122512817383 0.75 -0.0049969473902410294 -0.005507706121683926 0.11880908919632467 -0.09729448373685301 0.056172996376137756 1.5728438985318558 158 142 153 9 9 10 0.0 0.0 0.0 
0.1337740421295166 0.75 -0.0054512153348083865 -0.005245434401603755 0.1261526973585699 -0.09750331499621497 -0.05629356515994559 1.801394085118262 167 151 163 11 10 11 0.0 0.0 0.0 
0.13916754722595215 0.75 -0.005905483279375753 -0.005507706121683942 0.13454539240113592 -0.19538406217951232 -1.6609242538142417e-16 1.692075613420561 178 161 174 10 9 11 0.0 0.0 0.0 
0.14459609985351562 0.75 -0.0072682871130778605 -0.005769977841764113 0.15080623904610752 -0.0975661392971146 0.056329836786981655 1.7462249403964338 199 180 196 10 10 11 0.0 0.0 0.0 
0.1500098705291748 0.75 -0.007722555057645227 -0.005507706121683926 0.1589366623685933 -0.09762904460936293 -0.05636615518594168 1.8037169659501358 209 190 207 11 10 11 0.0 0.0 0.0 
0.1553955078125 0.75 -0.008176823002212593 -0.005769977841764113 0.16732935741115926 -0.09773406724771203 -0.056426790034463534 1.8056572811028357 220 200 218 11 10 11 0.0 0.0 0.0 
0.16157317161560059 0.75 -0.00863109094677996 -0.006032249561844299 0.17572205245372524 0.0 0.0 1.8596834470662158 231 210 229 11 11 11 0.0 0.0 0.0 
0.16733169555664062 0.75 -0.00863109094677996 -0.006032249561844299 0.18437701921637142 -0.19513227859422952 1.6609242538142417e-16 1.858884613970397 242 221 240 11 10 12 0.0 0.0 0.0 
0.17306995391845703 0.75 -0.009993894780482059 -0.006294521281924486 0.20142468102158356 -0.0975451888699522 0.056317741052219795 1.9148031957754683 264 241 263 11 11 12 0.0 0.0 0.0 
0.17940163612365723 0.75 -0.010448162725049424 -0.006032249561844299 0.21034191950430994 -0.0974405715502715 -0.16877202064362115 1.8564922270798305 275 252 275 12 10 11 0.0 0.0 0.0 
0.1852269172668457 0.75 -0.01090243066961679 -0.00681906472208486 0.21899688626695607 -0.09758709872553524 0.056341937718622365 1.9156258824331591 287 262 286 11 11 12 0.0 0.0 0.0 
0.19089555740356445 0.75 -0.011356698614184157 -0.006556793002004673 0.22791412474968248 0.0 -0.11268387543724473 1.9156258824331591 298 273 298 12 11 11 0.0 0.0 0.0 
0.19643855094909668 0.75 -0.011810966558751523 -0.007343608162245234 0.24601087343521533 -0.09744057155027179 -0.05625734021454041 1.9690069075089112 322 295 321 12 11 12 0.0 0.0 0.0 
0.20186996459960938 0.75 -0.01226523450331889 -0.007605879882325442 0.2551903836380219 -0.0976080671610156 -0.05635404385049143 1.9723915347671988 334 306 333 12 11 12 0.0 0.0 0.0 
0.2072923183441162 0.75 -0.012719502447886274 -0.007868151602405608 0.26436989384082843 -0.09762904460936322 0.056366155185941846 1.9164492763220191 346 317 345 11 11 12 0.0 0.0 0.0 
0.2127225399017334 0.75 -0.013173770392453621 -0.007605879882325411 0.2732871323235548 -0.09773406724771232 -0.0564267900344637 1.9749376512062267 357 328 357 12 11 12 0.0 0.0 0.0 
0.21813416481018066 0.75 -0.013628038337021024 -0.00786815160240563 0.2824666425263614 0.0 -0.11246643228138385 2.0806289972056 369 339 369 13 12 12 0.0 0.0 0.0 
0.22363924980163574 0.75 -0.01362803833702097 -0.008392695042565982 0.2921706961693282 -0.09752424743824951 -0.056305650510989035 1.9706977678846165 382 351 381 12 11 12 0.0 0.0 0.0 
0.22943520545959473 0.75 -0.014082306281588337 -0.008654966762646179 0.3107919882950215 -0.0977550988954953 -0.0564389326619727 1.9753626431690428 406 374 405 12 11 12 0.0 0.0 0.0 
0.23484325408935547 0.75 -0.014536574226155684 -0.008917238482726356 0.3199714984978281 0.0 0.0 2.0296177822198476 418 385 417 12 12 12 0.0 0.0 0.0 
0.24022912979125977 0.75 -0.014536574226155757 -0.008917238482726356 0.3294132804207148 0.0 0.0 2.0291815866939027 430 397 429 12 12 12 0.0 0.0 0.0 
0.24568414688110352 0.75 -0.014536574226155684 -0.008917238482726356 0.3388550623436015 -0.19504849487649917 8.304621269071208e-17 2.0270034183956054 442 409 441 12 11 13 0.0 0.0 0.0 
0.2510828971862793 0.75 -0.015445110115290454 -0.008917238482726356 0.34829684426648827 0.0 0.0 2.0278741243313423 454 420 454 12 12 12 0.0 0.0 0.0 
0.2565023899078369 0.75 -0.015445110115290454 -0.008917238482726356 0.3671804081122617 0.0 -0.11268387543724473 2.0846516955890264 478 444 478 13 12 12 0.0 0.0 0.0 
0.26192450523376465 0.75 -0.015445110115290454 -0.009441781922886751 0.37688446175522866 -0.09762904460936307 0.05636615518594176 2.0855477418798447 491 456 490 12 12 13 0.0 0.0 0.0 
0.2672863006591797 0.75 -0.0158993780598578 -0.009179510202806532 0.38658851539819555 0.0 0.0 2.0261334598469376 503 468 503 12 12 12 0.0 0.0 0.0 
0.2726755142211914 0.75 -0.015899378059857836 -0.009179510202806553 0.3960302973210823 0.0 0.0 2.0252642477234515 515 480 515 12 12 12 0.0 0.0 0.0 
0.2780923843383789 0.75 -0.0158993780598578 -0.009179510202806532 0.405472079243969 -0.09767102656791365 0.05639039348101205 2.086444558797445 527 492 527 12 12 13 0.0 0.0 0.0 
0.2834651470184326 0.75 -0.016353646004425185 -0.008917238482726377 0.41517613288693594 0.0 -0.11251468042908074 2.081521587937992 539 504 540 13 12 12 0.0 0.0 0.0 
0.2888655662536621 0.75 -0.016353646004425185 -0.00944178192288673 0.4343219684527896 0.0 0.0 2.0309274947056855 564 528 564 12 12 12 0.0 0.0 0.0 
0.29427194595336914 0.75 -0.016353646004425185 -0.00944178192288673 0.44376375037567634 0.0 -0.1127807869620241 2.086444558797445 576 540 576 13 12 12 0.0 0.0 0.0 
0.2996532917022705 0.75 -0.016353646004425185 -0.009966325363047084 0.45346780401864323 0.09767102656791365 0.05639039348101205 2.086444558797445 589 552 588 12 13 12 0.0 0.0 0.0 
0.30506443977355957 0.75 -0.0158993780598578 -0.009704053642966927 0.4631718576616102 0.0 0.0 2.0256987605421 601 565 600 12 12 12 0.0 0.0 0.0 
0.3104386329650879 0.75 -0.0158993780598578 -0.009704053642966885 0.4726136395844969 0.0 -0.11265967357396348 2.0842039611183245 613 577 612 13 12 12 0.0 0.0 0.0 
0.315807580947876 0.75 -0.015899378059857836 -0.010228597083127301 0.4823176932274638 0.0 0.0 2.0296177822198476 626 589 624 12 12 12 0.0 0.0 0.0 
0.3212106227874756 0.75 -0.0158993780598578 -0.01022859708312728 0.4917594751503505 0.0975033149962151 -0.05629356515994567 2.1391554760779363 638 601 636 13 13 12 0.0 0.0 0.0 
0.3267691135406494 0.75 -0.015445110115290418 -0.010490868803207478 0.5111675824362844 0.0 -0.11280504089470411 2.0868932565520253 663 626 660 13 12 12 0.0 0.0 0.0 
0.33232665061950684 0.75 -0.015445110115290454 -0.011015412243367832 0.5208716360792512 0.0 0.0 2.0256987605421 676 638 672 12 12 12 0.0 0.0 0.0 
0.3377962112426758 0.75 -0.015445110115290454 -0.011015412243367873 0.5303134180021379 0.0 -0.11265967357396348 2.0842039611183245 688 650 684 13 12 12 0.0 0.0 0.0 
0.34322547912597656 0.75 -0.015445110115290418 -0.011539955683528287 0.5400174716451049 0.0 0.0 2.0226610803099256 701 662 696 12 12 12 0.0 0.0 0.0 
0.3486518859863281 0.75 -0.015445110115290525 -0.011539955683528247 0.5494592535679916 -0.19530006215278026 -0.11275654345665834 2.0859960539481763 713 674 708 13 11 13 0.0 0.0 0.0 
0.3540983200073242 0.75 -0.01635364600442515 -0.012589042563849014 0.5688673608539255 -0.09765003107639013 -0.05637827172832917 1.9732395104915181 739 697 733 12 11 12 0.0 0.0 0.0 
0.3595235347747803 0.75 -0.01680791394899257 -0.012851314283929025 0.578046871056732 0.0 -0.11251468042908074 2.081521587937992 751 708 745 13 12 12 0.0 0.0 0.0 
0.3649604320526123 0.75 -0.016807913948992535 -0.013375857724089545 0.5877509246996989 -0.1949229541160122 0.0 2.0256987605421 764 720 757 12 11 13 0.0 0.0 0.0 
0.3703610897064209 0.75 -0.017716449838127302 -0.013375857724089503 0.5971927066225856 0.0 -0.11275654345665842 2.0859960539481763 776 731 770 13 12 12 0.0 0.0 0.0 
0.3757765293121338 0.75 -0.017716449838127302 -0.013900401164249857 0.6068967602655526 -0.09748239153806157 -0.1688444549872449 2.0261334598469376 789 743 782 13 11 12 0.0 0.0 0.0 
0.3812558650970459 0.75 -0.01817071778269465 -0.014687216324490469 0.6163385421884393 -0.09754518886995191 0.05631774105221963 2.083756418932128 802 754 794 12 12 13 0.0 0.0 0.0 
0.38699817657470703 0.75 -0.01907925367182942 -0.015211759764650864 0.6354843777542929 -0.09758709872553524 -0.169025813155867 2.028309757870404 827 777 819 13 11 12 0.0 0.0 0.0 
0.39247989654541016 0.75 -0.01953352161639677 -0.015998574924891394 0.6449261596771797 0.0 0.0 2.0291815866939027 840 788 831 12 12 12 0.0 0.0 0.0 
0.39789485931396484 0.75 -0.01953352161639677 -0.015998574924891394 0.6543679416000664 -0.09765003107639013 -0.05637827172832925 2.1423743256765055 852 800 843 13 12 13 0.0 0.0 0.0 
0.40328502655029297 0.75 -0.019987789560964118 -0.01626084664497165 0.6643342669631136 -0.0976080671610156 -0.1690621315514742 2.02874557861769 865 812 856 13 11 12 0.0 0.0 0.0 
0.40867161750793457 0.75 -0.020442057505531464 -0.0170476618052121 0.6737760488860002 -0.09744057155027164 0.056257340214540326 2.081521587937992 878 823 868 12 12 13 0.0 0.0 0.0 
0.41411447525024414 0.75 -0.020896325450098886 -0.016785390085131965 0.6834801025289671 0.0 -0.11258713031989134 2.0828619109179907 890 835 881 13 12 12 0.0 0.0 0.0 
0.4198272228240967 0.75 -0.021350593394666162 -0.01809674868553289 0.7026259380948209 -0.09765003107639013 0.05637827172832917 2.0859960539481763 916 858 905 12 12 13 0.0 0.0 0.0 
0.42528438568115234 0.75 -0.021804861339233508 -0.017834476965452713 0.7123299917377878 -0.09762904460936307 -0.05636615518594176 2.1419138970657867 928 870 918 13 12 13 0.0 0.0 0.0 
0.43085718154907227 0.75 -0.022259129283801003 -0.01809674868553289 0.7222963171008349 0.0 -0.11268387543724473 2.0846516955890264 941 882 931 13 12 12 0.0 0.0 0.0 
0.4364340305328369 0.75 -0.022259129283801003 -0.018621292125693325 0.7320003707438018 0.0 -0.1127807869620241 2.086444558797445 954 894 943 13 12 12 0.0 0.0 0.0 
0.44190239906311035 0.75 -0.02225912928380093 -0.019145835565853555 0.7417044243867688 -0.09739878742868066 0.056233216140691926 2.0806289972056 967 906 955 12 12 13 0.0 0.0 0.0 
0.44734764099121094 0.75 -0.023167665172935697 -0.01914583556585368 0.7613748033927826 0.0 -0.11273231037188353 2.0855477418798447 992 930 981 13 12 12 0.0 0.0 0.0 
0.45276379585266113 0.75 -0.023167665172935697 -0.019670379006013948 0.7710788570357496 0.0 0.1128050408947042 2.1432957769993775 1005 942 993 12 13 13 0.0 0.0 0.0 
0.45816612243652344 0.75 -0.023167665172935625 -0.019145835565853638 0.7810451823987967 0.0 -0.11251468042908074 2.081521587937992 1017 955 1006 13 12 12 0.0 0.0 0.0 
0.46359825134277344 0.75 -0.023167665172935697 -0.019670379006014115 0.7907492360417636 -0.09758709872553524 0.056341937718622365 2.0846516955890264 1030 967 1018 12 12 13 0.0 0.0 0.0 
0.46906566619873047 0.75 -0.023621933117503047 -0.019408107285933854 0.8004532896847306 0.0 0.0 2.0235280589127154 1042 979 1031 12 12 12 0.0 0.0 0.0 
0.4745204448699951 0.75 -0.023621933117503047 -0.01940810728593377 0.8098950716076173 -0.0976080671610156 -0.05635404385049143 2.141453666318673 1054 991 1043 13 12 13 0.0 0.0 0.0 
0.48015356063842773 0.75 -0.023621933117503047 -0.019408107285933854 0.8295654506136314 -0.09754518886995191 -0.05631774105221971 2.140074159984347 1079 1016 1068 13 12 13 0.0 0.0 0.0 
0.48555898666381836 0.75 -0.024076201062070465 -0.01967037900601399 0.8395317759766784 0.0 0.0 2.030054165316433 1092 1028 1081 12 12 12 0.0 0.0 0.0 
