t_now Tz phi_x phi_y phi_z dphi_x dphi_y dphi_z enc_pos_1 enc_pos_2 enc_pos_3 enc_dtick_1 enc_dtick_2 enc_dtick_3 theta_x theta_y theta_z 
0.005068540573120117 0.75 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0.0 0.0 0.0 
0.010443925857543945 0.75 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0.0 0.0 0.0 
0.01579594612121582 0.75 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0.0 0.0 0.0 
0.02106022834777832 0.75 -0.0004542679445673663 0.00026227172008018695 0.00026227172008018695 0.0 -0.11261130102197811 0.22522260204395617 0 0 1 2 1 1 0.0 0.0 0.0 
0.026337385177612305 0.75 -0.0004542679445673663 -0.00026227172008018695 0.0013113586004009348 0.0 0.0 0.3382696303699746 2 1 2 2 2 2 0.0 0.0 0.0 
0.031603336334228516 0.75 -0.0004542679445673663 -0.00026227172008018695 0.0028849889208820566 0.09767102656791365 0.05639039348101205 0.5639039348101202 4 3 4 3 4 3 0.0 0.0 0.0 
0.036855459213256836 0.75 0.0 0.0 0.005507706121683926 -0.09765003107639002 -0.05637827172832913 0.6201609890116201 7 7 7 4 3 4 0.0 0.0 0.0 
0.042125701904296875 0.75 -0.00045426794456736574 -0.0002622717200801866 0.008392695042565982 0.0 0.0 0.844766115783295 11 10 11 5 5 5 0.0 0.0 0.0 
0.047438621520996094 0.75 -0.0004542679445673663 -0.00026227172008018695 0.012326770843768787 -0.09760806716101553 0.056354043850491385 0.9016647016078622 16 15 16 5 5 6 0.0 0.0 0.0 
0.05313730239868164 0.75 -0.0009085358891347315 -6.487985366461882e-19 0.016523118365051777 0.0 -0.11265967357396348 0.9012773885917078 21 20 22 6 5 5 0.0 0.0 0.0 
0.05854487419128418 0.75 -0.0013628038337020988 -0.00026227172008018695 0.02570262856785832 0.0 0.11270808770098277 0.9580187454583535 33 31 34 5 6 6 0.0 0.0 0.0 
0.06384038925170898 0.75 -0.0013628038337020988 0.00026227172008018695 0.030161247809221498 -0.09762904460936307 -0.05636615518594176 1.127323103718835 38 37 40 7 6 7 0.0 0.0 0.0 
0.06910181045532227 0.75 -0.0018170717782694651 0.0 0.03540668221082524 0.0 0.11275654345665825 1.127565434566582 45 43 47 6 7 7 0.0 0.0 0.0 
0.07435917854309082 0.75 -0.0018170717782694651 0.0005245434401603739 0.04065211661242898 -0.09765003107638999 0.056378271728329085 1.2403219780232402 51 50 54 7 7 8 0.0 0.0 0.0 
0.07962584495544434 0.75 -0.0022713397228368314 0.0007868151602405608 0.04642209445419309 -0.0975033149962151 0.05629356515994567 1.2384584335188051 58 57 62 7 7 8 0.0 0.0 0.0 
0.08486080169677734 0.75 -0.0027256076674041976 0.0010490868803207478 0.0521920722959572 0.0 0.1127807869620241 1.2969790500632767 65 64 70 7 8 8 0.0 0.0 0.0 
0.09009861946105957 0.75 -0.0027256076674041976 0.0015736303204811216 0.0582243218578015 0.0 0.0 1.3516257852532718 72 72 78 8 8 8 0.0 0.0 0.0 
0.09534406661987305 0.75 -0.0027256076674041976 0.0015736303204811216 0.06451884313972599 -0.09765003107638999 0.056378271728329085 1.4094567932082274 80 80 86 8 8 9 0.0 0.0 0.0 
