i t roll_deg pitch_deg yaw_deg
0 0.010069608688354492 0.0 0.0 0.0
1 0.020581722259521484 0.0 0.0 0.0
2 0.030750274658203125 0.0 0.0 0.0
3 0.040894269943237305 0.0 0.0 0.0
4 0.051019906997680664 0.0 0.0 0.0
5 0.06119728088378906 0.0 0.0 0.0
6 0.07140374183654785 0.0 0.0 0.0
7 0.08156752586364746 0.0 0.0 0.0
8 0.09172773361206055 0.0 0.0 0.0
9 0.10185647010803223 0.0 0.0 0.0
10 0.11198067665100098 0.0 0.0 0.0
11 0.12208080291748047 0.0 0.0 0.0
12 0.1321887969970703 0.0 0.0 0.0
13 0.14231061935424805 0.0 0.0 0.0
14 0.15244245529174805 0.0 0.0 0.0
15 0.16254949569702148 0.0 0.0 0.0
16 0.17265558242797852 0.0 0.0 0.0
17 0.18279814720153809 0.0 0.0 0.0
18 0.19295573234558105 0.0 0.0 0.0
19 0.20310139656066895 0.0 0.0 0.0
20 0.21329951286315918 0.0 0.0 0.0
21 0.22344231605529785 0.0 0.0 0.0
22 0.23355555534362793 0.0 0.0 0.0
23 0.24366164207458496 0.0 0.0 0.0
24 0.2537698745727539 0.0 0.0 0.0
25 0.26387739181518555 0.0 0.0 0.0
26 0.2739746570587158 0.0 0.0 0.0
27 0.2840700149536133 0.0 0.0 0.0
28 0.2941927909851074 0.0 0.0 0.0
29 0.30432677268981934 0.0 0.0 0.0
30 0.3144495487213135 0.0 0.0 0.0
31 0.3245675563812256 0.0 0.0 0.0
32 0.3346748352050781 0.0 0.0 0.0
33 0.34479784965515137 0.0 0.0 0.0
34 0.35491013526916504 0.0 0.0 0.0
35 0.36501121520996094 0.0 0.0 0.0
36 0.3751201629638672 0.0 0.0 0.0
37 0.3852207660675049 0.0 0.0 0.0
38 0.39533543586730957 0.0 0.0 0.0
39 0.40546751022338867 0.0 0.0 0.0
40 0.4155874252319336 0.0 0.0 0.0
41 0.42569899559020996 0.0 0.0 0.0
42 0.43584179878234863 0.0 0.0 0.0
43 0.44602513313293457 0.0 0.0 0.0
44 0.45615339279174805 0.0 0.0 0.0
45 0.4662590026855469 0.0 0.0 0.0
46 0.4763662815093994 0.0 0.0 0.0
47 0.48647212982177734 0.0 0.0 0.0
48 0.49658799171447754 0.0 0.0 0.0
49 0.5067603588104248 0.0 0.0 0.0
50 0.5169129371643066 0.0 0.0 0.0
51 0.5270566940307617 0.0 0.0 0.0
52 0.537344217300415 0.0 0.0 0.0
53 0.5475649833679199 0.0 0.0 0.0
54 0.557727575302124 0.0 0.0 0.0
55 0.5679299831390381 0.0 0.0 0.0
56 0.5780448913574219 0.0 0.0 0.0
57 0.5886671543121338 0.0 0.0 0.0
58 0.5992093086242676 0.0 0.0 0.0
59 0.6117169857025146 0.0 0.0 0.0
60 0.6219699382781982 0.0 0.0 0.0
61 0.6321496963500977 0.0 0.0 0.0
62 0.6423099040985107 0.0 0.0 0.0
63 0.6527082920074463 0.0 0.0 0.0
64 0.6629817485809326 0.0 0.0 0.0
65 0.673140287399292 0.0 0.0 0.0
66 0.6832766532897949 0.0 0.0 0.0
67 0.6934072971343994 0.0 0.0 0.0
68 0.7035448551177979 0.0 0.0 0.0
69 0.713690996170044 0.0 0.0 0.0
70 0.7238345146179199 0.0 0.0 0.0
71 0.7339811325073242 0.0 0.0 0.0
