i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
1 0.005081892013549805 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.6010563373565674 0 0 0 0 0 0 
2 0.01074671745300293 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.6010563373565674 0 0 0 0 0 0 
3 0.016316890716552734 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.6010563373565674 0 0 0 0 0 0 
4 0.022004127502441406 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.6010563373565674 0 0 0 0 0 0 
5 0.02756500244140625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.6010563373565674 0 0 0 0 0 0 
6 0.03316664695739746 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.6010563373565674 0 0 0 0 0 0 
7 0.040010929107666016 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.6010563373565674 0 0 0 0 0 0 
8 0.045812368392944336 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.6010563373565674 0 0 0 0 0 0 
9 0.05142807960510254 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.6010563373565674 0 0 0 0 0 0 
10 0.057058095932006836 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.6010563373565674 0 0 0 0 0 0 
11 0.06260108947753906 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6008644104003906 0 0 0 0 0 0 
12 0.06833291053771973 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.600672721862793 0 0 0 0 0 0 
13 0.07394027709960938 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05560680478811264 2.600672721862793 0 0 0 0 0 0 
14 0.07966113090515137 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6008644104003906 0 0 0 0 0 0 
15 0.08527183532714844 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6008644104003906 0 0 0 0 0 0 
16 0.09506487846374512 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6008644104003906 0 0 0 0 0 0 
17 0.1009209156036377 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6008644104003906 0 0 0 0 0 0 
18 0.10972380638122559 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6008644104003906 0 0 0 0 0 0 
19 0.11556148529052734 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6008644104003906 0 0 0 0 0 0 
20 0.12136363983154297 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6010563373565674 0 0 0 0 0 0 
21 0.12965655326843262 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6010563373565674 0 0 0 0 0 0 
22 0.13531923294067383 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6010563373565674 0 0 0 0 0 0 
23 0.14191055297851562 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6010563373565674 0 0 0 0 0 0 
24 0.1485118865966797 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6010563373565674 0 0 0 0 0 0 
25 0.15428566932678223 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6010563373565674 0 0 0 0 0 0 
26 0.16042637825012207 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6010563373565674 0 0 0 0 0 0 
27 0.16904139518737793 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6010563373565674 0 0 0 0 0 0 
28 0.17579913139343262 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6010563373565674 0 0 0 0 0 0 
29 0.18336081504821777 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05541505664587021 2.6010563373565674 0 0 0 0 0 0 
30 0.18967890739440918 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05522330850362778 2.6010563373565674 0 0 0 0 0 0 
31 0.1952807903289795 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05522330850362778 2.6008644104003906 0 0 0 0 0 0 
32 0.20076799392700195 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05522330850362778 2.6008644104003906 0 0 0 0 0 0 
33 0.20678377151489258 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05522330850362778 2.6008644104003906 0 0 0 0 0 0 
34 0.21229863166809082 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05522330850362778 2.6010563373565674 0 0 0 0 0 0 
35 0.2177131175994873 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05522330850362778 2.6010563373565674 0 0 0 0 0 0 
36 0.2231462001800537 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1093790531158447 -0.05522330850362778 2.6010563373565674 0 0 0 0 0 0 
