i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
49 0.26622605323791504 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
50 0.27195072174072266 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
51 0.2774028778076172 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
52 0.28289127349853516 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
53 0.2883951663970947 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
54 0.2938060760498047 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
55 0.29917407035827637 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
56 0.30448126792907715 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
57 0.3098289966583252 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
58 0.3151674270629883 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
59 0.3204641342163086 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
60 0.3258087635040283 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
61 0.3311159610748291 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
62 0.3367488384246826 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
63 0.3420999050140381 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
