i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y cost autotune
115 1.5041606426239014 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
116 1.5160596370697021 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
117 1.5280001163482666 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
118 1.5395581722259521 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
119 1.5512442588806152 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
120 1.5629947185516357 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
121 1.574923038482666 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
122 1.5876202583312988 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
123 1.6015005111694336 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
124 1.6136858463287354 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
125 1.625765085220337 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
126 1.6379590034484863 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
127 1.6501057147979736 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
128 1.6614820957183838 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
129 1.6729168891906738 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
130 1.6844708919525146 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
131 1.695803165435791 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
132 1.707144021987915 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
133 1.7185308933258057 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
134 1.729893445968628 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
135 1.7419095039367676 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
136 1.753793478012085 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
137 1.765434741973877 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
138 1.7769973278045654 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
139 1.7883572578430176 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
140 1.7998096942901611 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
141 1.8114662170410156 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
142 1.8229527473449707 -0.0016495175620545408 0.0 0.0 -0.0013468254495977703 0.0013468254495977703 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
143 1.8342432975769043 -0.0016499939901078163 0.0 0.0 -0.001347214451474328 0.001347214451474328 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
144 1.845911979675293 -0.0016504878680802901 0.0 0.0 -0.0013476177011502483 0.0013476177011502483 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
145 1.8580942153930664 -0.0016510000206943684 0.0 0.0 -0.0013480358720085565 0.0013480358720085565 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
146 1.8694992065429688 -0.0016514811355847312 0.0 0.0 -0.001348428700671571 0.001348428700671571 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
147 1.8810648918151855 -0.0016519700249924083 0.0 0.0 -0.001348827877201391 0.001348827877201391 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
148 1.8926606178283691 -0.0016524586629603276 0.0 0.0 -0.0013492268484315087 0.0013492268484315087 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
149 1.9045910835266113 -0.001652961472073002 0.0 0.0 -0.001349637390352867 0.001349637390352867 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
150 1.9161474704742432 -0.0016534489634756253 0.0 0.0 -0.0013500354254163405 0.0013500354254163405 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
151 1.9299540519714355 -0.0016540371715876743 0.0 0.0 -0.0013505156953287022 0.0013505156953287022 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
152 1.941889762878418 -0.0016545349116748296 0.0 0.0 -0.0013509220984080552 0.0013509220984080552 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
153 1.953500509262085 -0.0016550255108728606 0.0 0.0 -0.0013513226709758535 0.0013513226709758535 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
154 1.9651598930358887 -0.0016555163715682396 0.0 0.0 -0.0013517234570553423 0.0013517234570553423 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
155 1.976541519165039 -0.0016559971847308929 0.0 0.0 -0.0013521160393587138 0.0013521160393587138 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
156 1.9883038997650146 -0.0016564929233575752 0.0 0.0 -0.0013525208082524336 0.0013525208082524336 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
157 2.0000882148742676 -0.0016569899493558181 0.0 0.0 -0.001352926628280631 0.001352926628280631 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
158 2.0116820335388184 -0.0016574795729675882 0.0 0.0 -0.0013533264042855828 0.0013533264042855828 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
159 2.0233538150787354 -0.001657971761264889 0.0 0.0 -0.0013537282743475018 0.0013537282743475018 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
160 2.034921646118164 -0.0016584594035313669 0.0 0.0 -0.0013541264325907965 0.0013541264325907965 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
161 2.046299934387207 -0.001658939321568482 0.0 0.0 -0.0013545182840272265 0.0013545182840272265 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
162 2.0577595233917236 -0.0016594238258667814 0.0 0.0 -0.001354913880130233 0.001354913880130233 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
163 2.0692052841186523 -0.0016599062180711142 0.0 0.0 -0.0013553077517157368 0.0013553077517157368 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
164 2.080885887145996 -0.0016603983158501021 0.0 0.0 -0.0013557095478697627 0.0013557095478697627 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
165 2.0925002098083496 -0.0016608883317078948 0.0 0.0 -0.0013561096441422507 0.0013561096441422507 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
166 2.104151964187622 -0.0016613801981623054 0.0 0.0 -0.00135651125142055 0.00135651125142055 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
167 2.115818738937378 -0.0016618719137528612 0.0 0.0 -0.0013569127355190277 0.0013569127355190277 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
168 2.127392292022705 -0.001662360280165842 0.0 0.0 -0.0013573114850254663 0.0013573114850254663 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
169 2.138770580291748 -0.0016628403591244022 0.0 0.0 -0.0013577034678537063 0.0013577034678537063 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
170 2.1501517295837402 -0.0016633206291771783 0.0 0.0 -0.00135809560670972 0.00135809560670972 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
171 2.161567449569702 -0.0016638024581564536 0.0 0.0 -0.00135848901842389 0.00135848901842389 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
172 2.1730806827545166 -0.0016642873949311364 0.0 0.0 -0.001358884967642385 0.001358884967642385 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
173 2.184455633163452 -0.0016647678259053575 0.0 0.0 -0.0013592772378902078 0.0013592772378902078 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
174 2.1958377361297607 -0.0016652476433665696 0.0 0.0 -0.001359669007206757 0.001359669007206757 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
175 2.2072181701660156 -0.0016657285772203065 0.0 0.0 -0.0013600616880539856 0.0013600616880539856 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
176 2.2186291217803955 -0.0016662086863516376 0.0 0.0 -0.0013604536955181894 0.0013604536955181894 -0.0 0.0 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
177 2.2298812866210938 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
178 2.2411632537841797 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
179 2.252612829208374 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
180 2.2642531394958496 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
181 2.2755682468414307 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
182 2.286957025527954 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
183 2.2983016967773438 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
184 2.310030460357666 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
185 2.321384906768799 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
186 2.3328046798706055 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
187 2.3442065715789795 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
188 2.3557074069976807 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
189 2.3670361042022705 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
190 2.378354787826538 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
191 2.389772891998291 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
192 2.401259660720825 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
193 2.4126431941986084 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
194 2.4244332313537598 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
195 2.435976266860962 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
196 2.4472761154174805 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
197 2.4585952758789062 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
198 2.4702506065368652 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
199 2.481743812561035 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
200 2.493428945541382 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
201 2.504770040512085 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
202 2.516461133956909 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
203 2.528043508529663 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
204 2.539372682571411 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
205 2.5507194995880127 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
206 2.562004327774048 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
207 2.5733418464660645 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
208 2.5846853256225586 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
209 2.596343994140625 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
210 2.608181953430176 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
211 2.6197664737701416 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
212 2.6313865184783936 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
213 2.644007921218872 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
214 2.65580153465271 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
215 2.6679253578186035 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
216 2.6812121868133545 -1.717466306672577e-05 0.0 0.0 -1.4023053672567285e-05 1.4023053672567285e-05 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
