i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
1 0.005080461502075195 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.053881075233221054 -2.9266436100006104 0 0 0 0 0 0 
2 0.01058816909790039 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.053881075233221054 -2.9266436100006104 0 0 0 0 0 0 
3 0.015918731689453125 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.053881075233221054 -2.9266436100006104 0 0 0 0 0 0 
4 0.02134561538696289 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.053881075233221054 -2.9266436100006104 0 0 0 0 -1 0 
5 0.026761531829833984 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.053881075233221054 -2.9266436100006104 0 -3 2 0 -4 4 
6 0.03208160400390625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.053881075233221054 -2.9266436100006104 0 -7 6 0 -6 6 
7 0.03744196891784668 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.053881075233221054 -2.9266436100006104 0 -13 12 0 -7 7 
8 0.042818307876586914 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.05368933081626892 -2.9266436100006104 0 -20 19 0 -8 9 
9 0.04814291000366211 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.05349758267402649 -2.9266436100006104 0 -28 28 0 -12 13 
10 0.05349445343017578 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.05349758267402649 -2.9264519214630127 0 -40 41 0 -10 10 
11 0.05883669853210449 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.05330583453178406 -2.9264519214630127 0 -50 51 0 -11 12 
12 0.06417536735534668 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.05330583453178406 -2.9264519214630127 0 -61 63 0 -13 13 
13 0.06953883171081543 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.05330583453178406 -2.926835536956787 0 -74 76 0 -13 14 
14 0.0749058723449707 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.05349758267402649 -2.9270272254943848 0 -87 90 0 -15 15 
15 0.08028268814086914 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.05368933081626892 -2.9270272254943848 0 -102 105 0 -16 16 
16 0.08563494682312012 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.054072823375463486 -2.926835536956787 0 -118 121 0 -18 19 
17 0.09102916717529297 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05426457151770592 -2.926835536956787 0 -136 140 0 -21 21 
18 0.09646010398864746 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05464806780219078 -2.926835536956787 0 -157 161 0 -18 18 
19 0.10184288024902344 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05464806780219078 -2.926835536956787 0 -175 179 0 -19 19 
20 0.10728955268859863 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05464806780219078 -2.9270272254943848 0 -213 218 0 -21 21 
21 0.11265802383422852 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.05426457151770592 -2.9272189140319824 0 -234 239 0 -23 23 
22 0.11799740791320801 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.054072823375463486 -2.9272189140319824 0 -257 262 0 -24 24 
23 0.12335014343261719 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.05368933081626892 -2.9270272254943848 0 -281 286 0 -24 25 
24 0.12865114212036133 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.05349758267402649 -2.926835536956787 0 -305 311 0 -31 31 
25 0.13400053977966309 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.05349758267402649 -2.9266436100006104 0 -336 342 0 -25 25 
26 0.1394805908203125 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.053881075233221054 -2.9266436100006104 0 -361 367 0 -25 24 
27 0.14498305320739746 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05426457151770592 -2.9264519214630127 0 -386 391 0 -25 26 
28 0.1506788730621338 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.05483981594443321 -2.926260232925415 0 -411 417 0 -27 27 
29 0.15619468688964844 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.05522330850362778 -2.926260232925415 0 -438 444 0 -29 29 
30 0.1618201732635498 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.05579855293035507 -2.9264519214630127 0 -496 502 0 -30 31 
31 0.1672499179840088 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.05579855293035507 -2.9264519214630127 0 -526 533 0 -28 29 
32 0.17275762557983398 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1262528896331787 -0.05541505664587021 -2.926260232925415 0 -554 562 0 -33 33 
33 0.17824339866638184 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05483981594443321 -2.9264519214630127 0 -587 595 0 -32 32 
