i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
1 0.005106210708618164 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04966263100504875 -2.8698863983154297 0 0 0 0 0 0 
2 0.011007547378540039 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04966263100504875 -2.8698863983154297 0 0 0 0 0 0 
3 0.01670217514038086 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04966263100504875 -2.8698863983154297 0 0 0 0 0 0 
4 0.022636890411376953 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04966263100504875 -2.8698863983154297 0 0 0 0 0 0 
5 0.028387784957885742 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04966263100504875 -2.8698863983154297 0 0 0 0 0 0 
6 0.03409838676452637 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04966263100504875 -2.8698863983154297 0 0 0 0 0 0 
7 0.03966856002807617 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04966263100504875 -2.8698863983154297 0 0 0 0 0 0 
8 0.04530167579650879 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04966263100504875 -2.8698863983154297 0 0 0 0 0 0 
9 0.050957441329956055 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04966263100504875 -2.8700780868530273 0 0 0 0 0 0 
10 0.05660867691040039 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04947088286280632 -2.8700780868530273 0 0 0 0 0 0 
11 0.06223273277282715 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.04927913472056389 -2.8698863983154297 0 0 0 0 0 0 
12 0.06806707382202148 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123568534851074 -0.04908738657832146 -2.8698863983154297 0 0 0 0 0 0 
13 0.07417654991149902 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123568534851074 -0.04908738657832146 -2.869694709777832 0 0 0 0 0 0 
14 0.07974410057067871 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123568534851074 -0.04947088286280632 -2.8695027828216553 0 0 0 0 0 0 
15 0.08528971672058105 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.123760223388672 -0.049854375422000885 -2.8693110942840576 0 0 0 0 0 0 
16 0.0907752513885498 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1239519119262695 -0.05023787170648575 -2.8693110942840576 0 0 0 0 0 0 
17 0.09638094902038574 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124335527420044 -0.05081311613321304 -2.8693110942840576 0 0 0 0 0 0 
18 0.10202717781066895 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1245272159576416 -0.051004864275455475 -2.869694709777832 0 0 0 0 0 0 
19 0.10845494270324707 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1247189044952393 -0.05119660869240761 -2.8698863983154297 0 0 0 0 0 0 
20 0.11419796943664551 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1247189044952393 -0.051004864275455475 -2.8700780868530273 0 0 0 0 0 0 
21 0.1197667121887207 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1245272159576416 -0.051004864275455475 -2.8698863983154297 0 0 0 0 0 0 
22 0.12529301643371582 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1245272159576416 -0.05081311613321304 -2.869694709777832 0 0 0 0 0 0 
23 0.13076233863830566 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124335527420044 -0.05062136799097061 -2.869694709777832 0 0 0 0 0 0 
24 0.1361851692199707 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124143600463867 -0.05042961984872818 -2.869694709777832 0 0 0 0 0 0 
25 0.14168977737426758 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1239519119262695 -0.05042961984872818 -2.869694709777832 0 0 0 0 0 0 
26 0.1471099853515625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1239519119262695 -0.05042961984872818 -2.8698863983154297 0 0 0 0 0 0 
27 0.15271997451782227 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1239519119262695 -0.05042961984872818 -2.8700780868530273 0 0 0 0 0 0 
28 0.15827131271362305 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1239519119262695 -0.05042961984872818 -2.870269775390625 0 0 0 0 0 0 
29 0.16406631469726562 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124143600463867 -0.05023787170648575 -2.8700780868530273 0 0 0 0 0 0 
30 0.16961312294006348 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124143600463867 -0.05023787170648575 -2.8698863983154297 0 0 0 0 0 0 
31 0.17517614364624023 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124335527420044 -0.05023787170648575 -2.8698863983154297 0 0 0 0 0 0 
32 0.18071722984313965 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124335527420044 -0.05042961984872818 -2.869694709777832 0 0 0 0 0 0 
33 0.186187744140625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1247189044952393 -0.05062136799097061 -2.8695027828216553 0 0 0 0 0 0 
34 0.19169068336486816 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.051004864275455475 -2.8695027828216553 0 0 0 0 0 0 
35 0.19722580909729004 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1251025199890137 -0.051004864275455475 -2.869694709777832 0 0 0 0 0 0 
36 0.20276236534118652 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.051004864275455475 -2.8698863983154297 0 0 0 0 0 0 
37 0.20832586288452148 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124335527420044 -0.05081311613321304 -2.8693110942840576 0 0 0 0 0 0 
38 0.21382689476013184 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1239519119262695 -0.05081311613321304 -2.86911940574646 0 0 0 0 0 0 
39 0.21947002410888672 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1239519119262695 -0.05081311613321304 -2.86911940574646 0 0 0 0 0 0 
40 0.2250511646270752 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124143600463867 -0.05081311613321304 -2.8695027828216553 0 0 0 0 0 0 
41 0.230604887008667 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124143600463867 -0.051004864275455475 -2.8698863983154297 0 0 0 0 0 0 
42 0.23608088493347168 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124335527420044 -0.05119660869240761 -2.8698863983154297 0 0 0 0 0 0 
