i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 enc_pos_1 enc_pos_2 enc_pos_3 
1 0.0050716400146484375 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.05368933081626892 -2.8710367679595947 0 0 0 0 0 0 0 0 0 
2 0.010473489761352539 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.05368933081626892 -2.8710367679595947 0 0 0 0 0 0 0 0 0 
3 0.015778303146362305 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.05368933081626892 -2.8710367679595947 0 0 0 0 0 0 0 0 0 
4 0.021121978759765625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.05368933081626892 -2.8710367679595947 0 0 0 0 0 0 0 0 0 
5 0.026459693908691406 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.05368933081626892 -2.8710367679595947 0 0 0 0 0 0 0 -2 2 
6 0.03179502487182617 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.05349758267402649 -2.8710367679595947 0 0 0 0 0 0 0 -5 6 
7 0.037188053131103516 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.05349758267402649 -2.8710367679595947 0 0 0 0 0 0 0 -10 11 
8 0.042693138122558594 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.05349758267402649 -2.870845079421997 0 0 0 0 0 0 0 -16 18 
9 0.04811453819274902 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.05349758267402649 -2.870845079421997 0 0 0 0 0 0 0 -23 27 
10 0.05350470542907715 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1251025199890137 -0.05349758267402649 -2.870845079421997 0 0 0 0 0 0 0 -31 37 
11 0.05886363983154297 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1251025199890137 -0.05349758267402649 -2.8712286949157715 0 0 0 0 0 0 0 -40 47 
