i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y cost autotune steer_active
26 0.40166354179382324 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
27 0.4129762649536133 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
28 0.4243178367614746 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
29 0.43562912940979004 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
30 0.4470560550689697 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
31 0.4585559368133545 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
32 0.46993112564086914 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
33 0.4812624454498291 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
34 0.49266552925109863 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
35 0.5057897567749023 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
36 0.5179176330566406 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
37 0.5295155048370361 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
38 0.5411062240600586 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
39 0.5532708168029785 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
40 0.5647475719451904 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
