i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 enc_pos_1 enc_pos_2 enc_pos_3 
38 0.20458054542541504 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05253884196281433 -2.89078688621521 0 0 0 0 0 0 0 -736 772 
39 0.20998525619506836 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.051963601261377335 -2.8905951976776123 0 0 0 0 0 0 0 -770 807 
40 0.21538805961608887 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.0517718531191349 -2.8905951976776123 0 0 0 0 0 0 0 -804 842 
41 0.2207944393157959 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.052155349403619766 -2.89078688621521 0 0 0 0 0 0 0 -840 879 
42 0.22629237174987793 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05273059010505676 -2.8909785747528076 0 0 0 0 0 0 0 -875 915 
43 0.23173785209655762 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05368933081626892 -2.8909785747528076 0 0 0 0 0 0 0 -954 995 
44 0.23706865310668945 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.053881075233221054 -2.8905951976776123 0 0 0 0 0 0 0 -988 1029 
45 0.24238991737365723 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05368933081626892 -2.8904032707214355 0 0 0 0 0 0 0 -1021 1064 
46 0.2477099895477295 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05368933081626892 -2.890211582183838 0 0 0 0 0 0 0 -1055 1099 
47 0.25304341316223145 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05349758267402649 -2.8904032707214355 0 0 0 0 0 0 0 -1092 1136 
48 0.25835132598876953 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05330583453178406 -2.89078688621521 0 0 0 0 0 0 0 -1129 1174 
49 0.26374101638793945 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.053114086389541626 -2.8911702632904053 0 0 0 0 0 0 0 -1166 1212 
50 0.2690765857696533 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.053114086389541626 -2.8911702632904053 0 0 0 0 0 0 0 -1205 1251 
51 0.27438879013061523 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.0523470975458622 -2.8909785747528076 0 0 0 0 0 0 0 -1241 1287 
52 0.2797427177429199 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.052155349403619766 -2.8905951976776123 0 0 0 0 0 0 0 -1281 1327 
53 0.2851085662841797 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.05158010497689247 -2.8900198936462402 0 0 0 0 0 0 0 -1320 1366 
54 0.2905092239379883 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1270198822021484 -0.05119660869240761 -2.8900198936462402 0 0 0 0 0 0 0 -1359 1406 
55 0.29613637924194336 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1275951862335205 -0.0517718531191349 -2.8905951976776123 0 0 0 0 0 0 0 -1438 1485 
56 0.3014974594116211 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05138835683465004 -2.8905951976776123 0 0 0 0 0 0 0 -1478 1525 
57 0.3068273067474365 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05138835683465004 -2.8905951976776123 0 0 0 0 0 0 0 -1478 1525 
58 0.31229281425476074 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1251025199890137 -0.05119660869240761 -2.891362190246582 0 0 0 0 0 0 0 -1567 1613 
59 0.31768035888671875 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1247189044952393 -0.05062136799097061 -2.8917455673217773 0 0 0 0 0 0 0 -1605 1652 
