i t roll_deg pitch_deg yaw_deg
270 2.753676414489746 0.2966308467854225 0.18676768087259055 2.0654287144443457
271 2.7637858390808105 0.2966308467854225 0.18676768087259055 2.0654287144443457
272 2.773916006088257 0.2966308467854225 0.19775404015255604 2.0654287144443457
273 2.784022569656372 0.2966308467854225 0.19775404015255604 2.0654287144443457
274 2.794123649597168 0.2966308467854225 0.19775404015255604 2.0654287144443457
275 2.8042378425598145 0.2966308467854225 0.18676768087259055 2.0654287144443457
276 2.8143398761749268 0.28564459422716276 0.18676768087259055 2.0654287144443457
277 2.824439764022827 0.28564459422716276 0.18676768087259055 2.0654287144443457
278 2.8345649242401123 0.28564459422716276 0.18676768087259055 2.0654287144443457
279 2.8447132110595703 0.28564459422716276 0.19775404015255604 2.0654287144443457
280 2.8548364639282227 0.28564459422716276 0.19775404015255604 2.0654287144443457
281 2.8649518489837646 0.28564459422716276 0.19775404015255604 2.0654287144443457
282 2.875079870223999 0.28564459422716276 0.18676768087259055 2.0654287144443457
283 2.8852035999298096 0.28564459422716276 0.18676768087259055 2.0654287144443457
284 2.8953123092651367 0.28564459422716276 0.18676768087259055 2.0654287144443457
285 2.905418872833252 0.27465823494719727 0.18676768087259055 2.0654287144443457
286 2.9155306816101074 0.27465823494719727 0.18676768087259055 2.0654287144443457
287 2.92563533782959 0.27465823494719727 0.18676768087259055 2.0654287144443457
288 2.935753107070923 0.27465823494719727 0.18676768087259055 2.0654287144443457
289 2.945901393890381 0.27465823494719727 0.18676768087259055 2.0654287144443457
290 2.95603346824646 0.27465823494719727 0.18676768087259055 2.0654287144443457
291 2.96614670753479 0.27465823494719727 0.18676768087259055 2.0654287144443457
292 2.976250410079956 0.27465823494719727 0.18676768087259055 2.0654287144443457
293 2.9863440990448 0.27465823494719727 0.18676768087259055 2.0654287144443457
294 2.9964489936828613 0.27465823494719727 0.18676768087259055 2.0654287144443457
295 3.0065529346466064 0.27465823494719727 0.18676768087259055 2.0654287144443457
296 3.016660213470459 0.27465823494719727 0.18676768087259055 2.0654287144443457
297 3.0267674922943115 0.26367187566723177 0.18676768087259055 2.0654287144443457
298 3.0368592739105225 0.26367187566723177 0.18676768087259055 2.0654287144443457
299 3.0469698905944824 0.26367187566723177 0.18676768087259055 2.0654287144443457
300 3.0571024417877197 0.26367187566723177 0.18676768087259055 2.0654287144443457
301 3.067202568054199 0.26367187566723177 0.18676768087259055 2.0654287144443457
302 3.0773119926452637 0.26367187566723177 0.18676768087259055 2.0654287144443457
303 3.0874223709106445 0.26367187566723177 0.18676768087259055 2.0654287144443457
304 3.0975236892700195 0.26367187566723177 0.18676768087259055 2.0654287144443457
305 3.107630968093872 0.26367187566723177 0.18676768087259055 2.0654287144443457
306 3.1177260875701904 0.2526855163872663 0.18676768087259055 2.0654287144443457
307 3.1278345584869385 0.2526855163872663 0.18676768087259055 2.0654287144443457
308 3.137932777404785 0.2526855163872663 0.18676768087259055 2.0654287144443457
309 3.14803409576416 0.2526855163872663 0.18676768087259055 2.0654287144443457
310 3.158170223236084 0.2526855163872663 0.18676768087259055 2.0654287144443457
311 3.1682803630828857 0.2526855163872663 0.18676768087259055 2.0654287144443457
312 3.178382635116577 0.2526855163872663 0.18676768087259055 2.0654287144443457
313 3.188488245010376 0.2526855163872663 0.18676768087259055 2.0654287144443457
314 3.1986124515533447 0.2526855163872663 0.18676768087259055 2.0654287144443457
315 3.208726406097412 0.2526855163872663 0.18676768087259055 2.0654287144443457
