i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z theta_d_x theta_d_y phi_x phi_y dphi_x dphi_y psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y p_x i_x d_x p_y i_y d_y
20 0.32842230796813965 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
21 0.3439638614654541 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
22 0.3555750846862793 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
23 0.3669612407684326 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
24 0.3783423900604248 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
25 0.3897528648376465 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
26 0.4015648365020752 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
27 0.4133455753326416 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
28 0.42473292350769043 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
29 0.4363398551940918 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
30 0.44773197174072266 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
31 0.4591367244720459 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
32 0.4705328941345215 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
33 0.4820740222930908 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
34 0.4934558868408203 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
35 0.505892276763916 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
36 0.5188648700714111 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
37 0.5305464267730713 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
38 0.5433845520019531 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
39 0.5552873611450195 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
40 0.5674102306365967 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
