i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y
1 0.11032271385192871 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
2 0.12147140502929688 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
3 0.13251209259033203 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
4 0.14378571510314941 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
5 0.1560816764831543 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
6 0.1678457260131836 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
7 0.17970681190490723 0.0 -0.0014384511756638575 0.0 0.0006780923871451168 0.0006780923871451168 -0.0013561847742902336 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
8 0.19153785705566406 0.0 -0.0014387916205244266 0.0 0.000678252874391469 0.000678252874391469 -0.0013565057487829385 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
9 0.20330023765563965 0.0 -0.001439134108904483 0.0 0.0006784143249621462 0.0006784143249621462 -0.0013568286499242924 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
10 0.21704936027526855 0.0 -0.0014395250314393592 0.0 0.0006785986076123659 0.0006785986076123659 -0.0013571972152247318 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
11 0.22874808311462402 0.0 -0.001439863151625076 0.0 0.0006787579989964835 0.0006787579989964835 -0.001357515997992967 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
12 0.2416691780090332 0.0 -0.001440232171471223 0.0 0.0006789319566202187 0.0006789319566202187 -0.0013578639132404374 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
13 0.2532792091369629 0.0 -0.0014405677818309925 0.0 0.0006790901648610384 0.0006790901648610384 -0.0013581803297220767 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
14 0.2650728225708008 0.0 -0.0014409090701576587 0.0 0.000679251049721122 0.000679251049721122 -0.001358502099442244 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 0.0 0.0 7.5 0.15 0.06 7.5 0.15 0.06
